キャリア,機種名,表示タイプ,横,縦,最終更新日
au,A1011ST,ブラウザ画像サイズ,120,126,2005/10/17
au,A1011ST,表示可能文字数,12,11,2005/10/17
au,A1011ST,表示可能文字数,10,7,2005/10/17
au,A1011ST,（初期値）表示可能文字数,10,9,2005/10/17
au,A1011ST,待受壁紙画像サイズ,128,129,2005/10/17
au,A1012K,ブラウザ画像サイズ,120,126,2005/10/17
au,A1012K,表示可能文字数,10,10,2005/10/17
au,A1012K,（初期値）表示可能文字数,10,7,2005/10/17
au,A1012K,待受壁紙画像サイズ,120,120,2005/10/17
au,A1012KII,ブラウザ画像サイズ,120,126,2005/10/17
au,A1012KII,表示可能文字数,10,10,2005/10/17
au,A1012KII,（初期値）表示可能文字数,10,7,2005/10/17
au,A1012KII,待受壁紙画像サイズ,120,120,2005/10/17
au,A1013K,ブラウザ画像サイズ,120,126,2005/10/17
au,A1013K,表示可能文字数,10,10,2005/10/17
au,A1013K,（初期値）表示可能文字数,10,7,2005/10/17
au,A1013K,待受壁紙画像サイズ,120,160,2005/10/17
au,A1014ST,ブラウザ画像サイズ,120,108,2005/10/17
au,A1014ST,表示可能文字数,12,11,2005/10/17
au,A1014ST,表示可能文字数,10,7,2005/10/17
au,A1014ST,（初期値）表示可能文字数,10,9,2005/10/17
au,A1014ST,待受壁紙画像サイズ,132,147,2005/10/17
au,A1101S,ブラウザ画像サイズ,120,120,2005/10/17
au,A1101S,表示可能文字数,8,8,2005/10/17
au,A1101S,表示可能文字数,7,6,2005/10/17
au,A1101S,（初期値）表示可能文字数,10,9,2005/10/17
au,A1101S,待受壁紙画像サイズ,120,120,2005/10/17
au,A1301S,ブラウザ画像サイズ,120,123,2005/10/17
au,A1301S,表示可能文字数,7,6,2005/10/17
au,A1301S,表示可能文字数,8,8,2005/10/17
au,A1301S,（初期値）表示可能文字数,10,9,2005/10/17
au,A1301S,待受壁紙画像サイズ,120,145,2005/10/17
au,A1302SA,ブラウザ画像サイズ,124,144,2005/10/17
au,A1302SA,表示可能文字数,6,7,2005/10/17
au,A1302SA,表示可能文字数,7,8,2005/10/17
au,A1302SA,（初期値）表示可能文字数,10,11,2005/10/17
au,A1302SA,待受壁紙画像サイズ,132,176,2005/10/17
au,A1303SA,ブラウザ画像サイズ,124,144,2005/10/17
au,A1303SA,表示可能文字数,6,7,2005/10/18
au,A1303SA,表示可能文字数,7,8,2005/10/18
