キャリア,機種名,デバイス名,USER_AGENT,USER_AGENT_SCRAP,最終更新日
au,A1011ST,ST13,UP.Browser/3.04-ST13, UP.Link/3.4.5.9,2005/9/17
au,A1011ST,ST13,UP.Browser/3.04-ST13,  ,2006/4/6
au,A1011ST,ST13,UP.Browser/3.04-ST13, UP.Link/3.4.5.6,2005/11/7
au,A1012K,KC14,UP.Browser/3.04-KC14, UP.Link/3.4.5.9,2005/9/17
au,A1012K,KC14,UP.Browser/3.04-KC14, UP.Link/3.4.5.6,2005/11/7
au,A1012K,KC14,UP.Browser/3.04-KC14,  ,2006/4/6
au,A1012KII,KC14,UP.Browser/3.04-KC14, UP.Link/3.4.5.9,2005/9/17
au,A1012KII,KC14,UP.Browser/3.04-KC14,  ,2006/4/6
au,A1012KII,KC14,UP.Browser/3.04-KC14, UP.Link/3.4.5.6,2005/11/7
au,A1013K,KC15,UP.Browser/3.04-KC15, UP.Link/3.4.5.9,2005/9/17
au,A1013K,KC15,UP.Browser/3.04-KC15, UP.Link/3.4.5.6,2005/11/7
au,A1013K,KC15,UP.Browser/3.04-KC15,  ,2006/4/6
au,A1013K,KC15,UP.Browser/3.04-KC15, UP.Link/3.4.4,2005/10/5
au,A1014ST,ST14,UP.Browser/3.04-ST14, UP.Link/3.4.5.9,2005/9/17
au,A1014ST,ST14,UP.Browser/3.04-ST14,  ,2006/4/6
au,A1014ST,ST14,UP.Browser/3.04-ST14, UP.Link/3.4.5.6,2005/11/7
au,A1101S,SN22,KDDI-SN22, UP.Browser/6.0.7 (GUI) MMP/1.1,2007/4/16
au,A1101S,SN22,KDDI-SN22,  ,2007/4/16
au,A1301S,SN23,KDDI-SN23, UP.Browser/6.0.8.2 (GUI) MMP/1.1,2007/5/31
au,A1301S,SN23,UP.Browser/3.04-SN23, UP.Link/3.4.5.6,2007/4/16
au,A1301S,SN23,KDDI-SN23,  ,2007/4/16
au,A1302SA,SA24,KDDI-SA24, UP.Browser/6.0.8.2 (GUI) MMP/1.1,2007/4/16
au,A1302SA,SA24,KDDI-SA24,  ,2007/4/16
au,A1303SA,SA25,KDDI-SA25, UP.Browser/6.2.0.4 (GUI) MMP/2.0,2007/5/31
au,A1303SA,SA25,KDDI-SA25, UP.Browser/6.2.0.5 (GUI) MMP/2.0,2007/4/16
au,A1303SA,SA25,KDDI-SA25,  ,2007/4/16
au,A1304T,TS25,KDDI-TS25, UP.Browser/6.0.8.3 (GUI) MMP/1.1,2007/4/16
au,A1304T,TS25,KDDI-TS25,  ,2007/4/16
au,A1304TII,TS25,KDDI-TS25, UP.Browser/6.0.8.3 (GUI) MMP/1.1,2007/4/16
au,A1304TII,TS25,KDDI-TS25,  ,2007/4/16
au,A1304Tカメラ無し,TS25,KDDI-TS25, UP.Browser/6.0.8.3 (GUI) MMP/1.1,2007/4/16
au,A1304Tカメラ無し,TS25,KDDI-TS25,  ,2007/4/16
au,A1305SA,SA28,KDDI-SA28, UP.Browser/6.2.0.5 (GUI) MMP/2.0,2007/4/16
au,A1305SA,SA28,KDDI-SA28,  ,2007/4/16
au,A1401K,KC23,KDDI-KC23, UP.Browser/6.2.0.4 (GUI) MMP/2.0,2007/5/31
au,A1401K,KC23,KDDI-KC23, UP.Browser/6.2.0.5 (GUI) MMP/2.0,2007/4/16
au,A1401K,KC23,KDDI-KC23,  ,2007/4/16
au,A1402S,SN26,KDDI-SN26, UP.Browser/6.2.0.5 (GUI) MMP/2.0,2007/5/31
au,A1402S,SN26,KDDI-SN26, UP.Browser/6.2.0.6.2 (GUI) MMP/2.0,2007/4/16
au,A1402S,SN26,KDDI-SN26,  ,2007/4/16
au,A1402SII,SN27,KDDI-SN27, UP.Browser/6.2.0.6.2 (GUI) MMP/2.0,2007/4/16
au,A1402SII,SN27,KDDI-SN27,  ,2007/4/16
au,A1402SIIカメラ無し,SN28,KDDI-SN28, UP.Browser/6.2.0.6.2 (GUI) MMP/2.0,2007/4/16
au,A1402SIIカメラ無し,SN28,KDDI-SN28,  ,2007/4/16
au,A1403K,KC26,KDDI-KC26, UP.Browser/6.2.0.7.3.129 (GUI) MMP/2.0,2007/4/16
au,A1403K,KC26,KDDI-KC26,  ,2007/4/16
au,A1404S,SN29,KDDI-SN29, UP.Browser/6.2.0.6.2 (GUI) MMP/2.0,2007/4/16
au,A1404S,SN29,KDDI-SN29,  ,2007/4/16
au,A1404SII,SN29,KDDI-SN29, UP.Browser/6.2.0.6.2 (GUI) MMP/2.0,2007/4/16
au,A1404SII,SN29,KDDI-SN29,  ,2007/4/16
au,A1405PT,PT21,KDDI-PT21, UP.Browser/6.2.0.9 (GUI) MMP/2.0,2007/4/16
au,A1405PT,PT21,KDDI-PT21,  ,2007/4/16
au,A1406PT,PT22,KDDI-PT22, UP.Browser/6.2.0.10.1 (GUI) MMP/2.0,2007/4/16
au,A1406PT,PT22,KDDI-PT22,  ,2007/4/16
au,A1407PT,PT23,KDDI-PT23,  ,2007/11/13
au,A1407PT,PT23,KDDI-PT23, UP.Browser/6.2.0.10.1 (GUI) MMP/2.0,2007/11/13
au,A3011SA,SA21,KDDI-SA21, UP.Browser/6.0.6 (GUI) MMP/1.1,2007/5/31
au,A3011SA,SA21,KDDI-SA21, UP.Browser/6.0.7.2 (GUI) MMP/1.1,2007/4/16
au,A3011SA,SA21,KDDI-SA21, UP.Browser/6.0.7.1 (GUI) MMP/1.1,2007/5/31
au,A3011SA,SA21,KDDI-SA21, UP.Browser/6.0.7 (GUI) MMP/1.1,2007/5/31
