キャリア,機種名,メーカー,ニックネーム,発売日,シリーズ,通信方式,下り通信速度,マークアップ言語,ブラウザバージョン,キャッシュ容量,QVGA画面,画像階調,GIF,JPEG,PNG,BMP2,BMP4,MNG,アニメーションGIF,透過GIF,AMC,ASF,3G2,3GP,和音数,着うた対応,着うたフル対応,着ムービー対応,大容量動画対応,アプリケーション対応,アプリケーション種類,アプリケーションバージョン,アプリケーション最大容量,FLASH対応,Flashバージョン,QR対応,Felica対応,モバイルSuica,Bluetooth対応,赤外線対応,GPS対応,メール件名文字数,添付受信サイズ,添付送信サイズ,HTMLメール,PDFビューアー対応,Office文書ビューアー対応,office文書WebDL,officeファイル表示可能サイズ,フルブラウザ対応,フルブラウザバージョン,フルブラウザUSER-AGENT,プッシュ型情報配信,きせかえツール,待受コンシェルジュ機能対応,SSL対応,ルートCA証明書VeriSign,ルートCA証明書Entrust,ルートCA証明書Cyber Trust,ルートCA証明書Geotrust,ルートCA証明書RSA Security,Cookie,機体番号送信,メールURL長,BookMarkURL長,ブラウザURL長,横画面用待受設定,横画面ブラウザ対応,タッチパネル,カメラの画素数,第二カメラの画素数,テレビ電話対応,外部メモリースロットとメディアの種類,ワンセグ対応,サービス提供中,最終更新日
au,A1011ST,SANYO,,2002/4/1,A1000,cdma2000_1x,14.4Kbps,HDML,3,8220,N,カラー65536色,N,Y,Y,Y,N,N,N,N,N,N,N,N,16,N,N,N,N,N,,,,N,0,N,N,N,N,N,N,50,100K,100K,N,N,N,N,-,N,,,N,N,N,L,Y,N,Y,N,Y,S,Y,256,256,256,N,N,N,,,N,,N,N,2007/5/8
au,A1012K,KYOCERA,,2002/4/1,A1000,cdma2000_1x,14.4Kbps,HDML,3,8220,N,カラー65536色,N,Y,Y,Y,N,N,N,N,N,N,N,N,40,N,N,N,N,N,,,,N,0,N,N,N,N,N,N,50,100K,100K,N,N,N,N,-,N,,,N,N,N,L,Y,N,Y,N,Y,S,Y,256,256,256,N,N,N,,,N,,N,N,2007/5/8
au,A1012KII,KYOCERA,,2002/9/25,A1000,cdma2000_1x,14.4Kbps,HDML,3,8220,N,カラー65536色,N,Y,Y,Y,N,N,N,N,N,N,N,N,40,N,N,N,N,N,,,,N,0,N,N,N,N,N,N,50,100K,100K,N,N,N,N,-,N,,,N,N,N,L,Y,N,Y,N,Y,S,Y,256,256,256,N,N,N,,,N,,N,N,2007/5/8
au,A1013K,KYOCERA,,2002/9/6,A1000,cdma2000_1x,14.4Kbps,HDML,3,8220,N,カラー65536色,N,Y,Y,Y,N,N,N,N,N,N,N,N,40,N,N,N,N,N,,,,N,0,N,N,N,N,N,N,50,100K,100K,N,N,N,N,-,N,,,N,N,N,L,Y,N,Y,N,Y,S,Y,256,256,256,N,N,N,11万画素,,N,,N,N,2007/5/8
au,A1014ST,SANYO,,2002/9/20,A1000,cdma2000_1x,14.4Kbps,HDML,3,8220,N,カラー65536色,N,Y,Y,Y,N,N,N,N,N,N,N,N,40,N,N,N,N,N,,,,N,0,N,N,N,N,N,N,50,100K,100K,N,N,N,N,-,N,,,N,N,N,L,Y,N,Y,N,Y,S,Y,256,256,256,N,N,N,11万画素,,N,,N,N,2007/5/8
au,A1101S,SonyEricsson,,2002/11/1,A1100,cdma2000_1x,144Kbps,XHTML_Basic,6,10240,N,カラー65536色,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,40,N,N,N,N,N,,,,N,0,N,N,N,N,N,N,50,100K,100K,N,N,N,N,-,N,,,N,N,N,E,Y,Y,N,N,Y,C,Y,256,256,256,N,N,N,,,N,,N,Y,2007/10/12
au,A1301S,SonyEricsson,,2003/3/21,A1300,cdma2000_1x,144Kbps,XHTML_Basic,6,33500,N,カラー65536色,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,40,Y,N,N,N,N,,,,N,0,N,N,N,N,N,N,50,100K,100K,N,N,N,N,-,N,,,N,N,N,E,Y,Y,N,N,Y,C,Y,256,256,256,N,N,N,31万画素,,N,,N,Y,2006/11/9
au,A1302SA,SANYO,,2003/3/21,A1300,cdma2000_1x,144Kbps,XHTML_Basic,6,33500,N,カラー262144色,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,40,Y,N,N,N,N,,,,N,0,N,N,N,N,N,N,50,100K,100K,N,N,N,N,-,N,,,N,N,N,E,Y,Y,N,N,Y,C,Y,256,256,256,N,N,N,11万画素,,N,,N,Y,2007/10/12
au,A1303SA,SANYO,,2003/8/14,A1300,cdma2000_1x,144Kbps,XHTML_Basic,6.2,33500,N,カラー262144色,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,40,Y,N,Y,N,N,,,,N,0,N,N,N,N,N,N,50,100K,100K,N,N,N,N,-,N,,,N,N,N,E,Y,Y,Y,N,Y,C,Y,256,256,256,N,N,N,31万画素,,N,,N,Y,2006/11/9
au,A1304T,TOSHIBA,,2003/7/30,A1300,cdma2000_1x,144Kbps,XHTML_Basic,6,33500,N,カラー65536色,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,40,Y,N,Y,N,Y,BREW,BREW2.0,200K,N,0,N,N,N,N,N,N,50,100K,100K,N,N,N,N,-,N,,,N,N,N,E,Y,Y,N,N,Y,C,Y,256,256,256,N,N,N,31万画素,,N,,N,Y,2006/11/9
